,category,price,price_1m2,area,title_deed,repair,room_number,floor_house,total_floors,title_length,floor_status
22057,New construction,319000.0,2280.0,140.0,exist,exist,4.0,3.0,15.0,57,1
22058,New construction,235000.0,1570.0,150.0,exist,exist,3.0,10.0,16.0,51,2
22059,New construction,142000.0,2450.0,58.0,don't exist,exist,1.0,10.0,13.0,48,3
22060,New construction,214000.0,2280.0,94.0,don't exist,exist,2.0,3.0,17.0,56,1
22061,New construction,250000.0,2080.0,120.0,exist,exist,3.0,17.0,17.0,52,3
22062,New construction,360000.0,2250.0,160.0,exist,exist,3.0,9.0,14.0,48,2
22063,New construction,235000.0,2500.0,94.0,exist,exist,2.0,10.0,17.0,46,2
22064,New construction,430000.0,2700.0,159.0,don't exist,exist,4.0,14.0,15.0,58,3
22065,New construction,368000.0,2100.0,175.0,exist,exist,4.0,12.0,16.0,58,2
22066,New construction,149000.0,1990.0,75.0,exist,exist,3.0,14.0,16.0,47,3
22067,New construction,285000.0,2040.0,140.0,exist,exist,3.0,5.0,12.0,57,2
22068,Old building,154000.0,2800.0,55.0,exist,exist,2.0,4.0,4.0,45,3
22069,Old building,220000.0,1910.0,115.0,exist,exist,5.0,4.0,9.0,56,2
22070,Old building,145000.0,2070.0,70.0,exist,exist,2.0,2.0,9.0,55,1
22071,New construction,355000.0,2130.0,167.0,exist,exist,4.0,3.0,16.0,47,1
22072,Old building,85000.0,1130.0,75.0,exist,exist,3.0,1.0,9.0,49,1
22073,New construction,327000.0,1700.0,192.0,don't exist,don't exist,4.0,6.0,6.0,48,3
22074,New construction,127000.0,2350.0,54.0,exist,exist,2.0,17.0,18.0,48,3
22075,New construction,230000.0,1920.0,120.0,exist,exist,3.0,4.0,10.0,46,2
22076,Old building,75000.0,1790.0,42.0,exist,exist,2.0,2.0,5.0,46,2
22077,New construction,380000.0,2240.0,170.0,exist,exist,4.0,2.0,10.0,58,1
22078,Old building,140000.0,2060.0,68.0,exist,exist,3.0,3.0,5.0,49,2
22079,Old building,110000.0,1570.0,70.0,exist,exist,3.0,2.0,5.0,47,2
22080,New construction,320000.0,2540.0,126.0,exist,exist,3.0,10.0,19.0,57,2
22081,New construction,460000.0,2300.0,200.0,exist,exist,4.0,10.0,17.0,48,2
22082,New construction,251500.0,1850.0,136.0,exist,exist,3.0,7.0,19.0,49,2
22083,New construction,520000.0,2810.0,185.0,don't exist,exist,4.0,16.0,21.0,46,3
22084,New construction,223000.0,2900.0,77.0,don't exist,exist,3.0,12.0,17.0,45,2
22085,New construction,460000.0,2320.0,198.0,exist,exist,4.0,16.0,18.0,46,3
22086,New construction,218000.0,2600.0,84.0,exist,don't exist,2.0,7.0,20.0,45,2
22087,New construction,350000.0,3130.0,112.0,exist,exist,3.0,14.0,18.0,46,3
22088,New construction,110000.0,1340.0,82.0,exist,exist,2.0,7.0,19.0,48,2
22089,Old building,109000.0,3110.0,35.0,exist,exist,1.0,3.0,5.0,47,2
22090,Old building,250000.0,2340.0,107.0,exist,exist,3.0,3.0,5.0,58,2
22091,New construction,185000.0,1750.0,105.5,exist,exist,3.0,2.0,16.0,54,1
22092,New construction,175000.0,2650.0,66.0,don't exist,exist,2.0,15.0,20.0,47,2
22093,New construction,365000.0,2030.0,180.0,exist,exist,4.0,12.0,16.0,58,2
22094,Old building,165000.0,1570.0,105.0,exist,exist,4.0,4.0,9.0,52,2
22095,New construction,245000.0,2220.0,110.5,exist,exist,3.0,12.0,20.0,48,2
22096,Old building,145000.0,2640.0,55.0,exist,exist,2.0,2.0,5.0,46,2
22097,New construction,234000.0,2270.0,103.0,don't exist,don't exist,3.0,10.0,12.0,46,3
22098,New construction,70000.0,1070.0,65.3,exist,don't exist,2.0,3.0,14.0,48,1
22099,Old building,107000.0,2060.0,52.0,don't exist,exist,2.0,1.0,5.0,46,1
22100,Old building,118000.0,1820.0,65.0,exist,exist,3.0,1.0,5.0,52,1
22101,New construction,223500.0,1500.0,149.0,don't exist,don't exist,4.0,15.0,17.0,47,3
22102,Old building,159000.0,2650.0,60.0,exist,exist,2.0,8.0,9.0,48,3
22103,New construction,187000.0,3170.0,58.9,don't exist,exist,2.0,7.0,16.0,47,2
22104,New construction,125000.0,2500.0,50.0,exist,exist,2.0,11.0,13.0,48,3
22105,New construction,265000.0,1830.0,145.0,don't exist,don't exist,3.0,12.0,20.0,58,2
22106,New construction,245000.0,1670.0,147.0,exist,exist,4.0,2.0,16.0,52,1
22107,Old building,245000.0,2230.0,110.0,exist,exist,4.0,3.0,5.0,47,2
22108,Old building,185000.0,3190.0,58.0,exist,exist,3.0,1.0,5.0,57,1
22109,New construction,270000.0,3070.0,88.0,exist,exist,2.0,10.0,16.0,45,2
22110,New construction,1180000.0,3930.0,300.0,exist,exist,4.0,6.0,8.0,49,2
22111,New construction,95000.0,1790.0,53.0,exist,exist,2.0,16.0,20.0,51,3
22112,New construction,320000.0,1800.0,178.0,exist,exist,4.0,2.0,14.0,51,1
22113,Old building,170000.0,1890.0,90.0,exist,exist,3.0,2.0,9.0,55,1
22114,New construction,145000.0,1240.0,117.0,don't exist,don't exist,3.0,5.0,17.0,58,2
22115,New construction,357000.0,2930.0,122.0,exist,exist,3.0,5.0,16.0,57,2
22116,New construction,396800.0,1600.0,248.0,don't exist,don't exist,4.0,11.0,18.0,46,2
22117,New construction,162000.0,2550.0,63.5,exist,exist,2.0,8.0,18.0,52,2
22118,New construction,405000.0,4010.0,101.0,exist,exist,3.0,6.0,16.0,58,2
22119,Old building,125000.0,2500.0,50.0,exist,exist,2.0,4.0,4.0,47,3
22120,Old building,154000.0,2700.0,57.0,exist,exist,3.0,4.0,9.0,52,2
22121,New construction,168000.0,1200.0,140.0,don't exist,don't exist,3.0,14.0,22.0,47,2
22122,New construction,144000.0,2060.0,70.0,don't exist,exist,3.0,8.0,10.0,51,3
22123,Old building,220000.0,2200.0,100.0,exist,exist,3.0,2.0,5.0,59,2
22124,New construction,345000.0,2450.0,141.0,exist,exist,4.0,13.0,19.0,51,2
22125,New construction,290000.0,2360.0,123.0,exist,exist,3.0,8.0,21.0,57,2
22126,New construction,235000.0,1600.0,147.0,don't exist,exist,4.0,12.0,22.0,47,2
22127,New construction,165000.0,2360.0,70.0,don't exist,exist,2.0,9.0,16.0,51,2
22128,New construction,139000.0,2320.0,60.0,don't exist,exist,3.0,5.0,16.0,51,2
22129,New construction,260000.0,2170.0,120.0,exist,exist,3.0,9.0,17.0,52,2
22130,New construction,220000.0,1830.0,120.0,exist,exist,3.0,5.0,16.0,51,2
22131,Old building,180000.0,2050.0,88.0,exist,exist,3.0,4.0,5.0,57,3
22132,New construction,165000.0,1830.0,90.0,don't exist,don't exist,3.0,18.0,20.0,48,3
22133,New construction,290000.0,1810.0,160.0,exist,exist,4.0,3.0,14.0,52,1
22134,New construction,140000.0,2690.0,52.0,exist,exist,2.0,6.0,18.0,51,2
22135,New construction,67000.0,744.0,90.0,exist,don't exist,3.0,3.0,10.0,49,2
22136,New construction,210000.0,1780.0,118.0,exist,exist,3.0,8.0,15.0,52,2
22137,New construction,185000.0,1890.0,98.0,exist,exist,3.0,9.0,18.0,50,2
22138,New construction,346000.0,2000.0,173.0,exist,exist,4.0,5.0,16.0,46,2
22139,New construction,360000.0,1650.0,218.0,exist,don't exist,5.0,7.0,18.0,47,2
22140,Old building,118000.0,1820.0,65.0,exist,don't exist,3.0,2.0,5.0,52,2
22141,New construction,435000.0,2640.0,165.0,exist,exist,4.0,14.0,17.0,57,3
22142,New construction,120000.0,2180.0,55.0,exist,exist,2.0,12.0,17.0,51,2
22143,New construction,140000.0,1180.0,119.0,exist,don't exist,2.0,10.0,16.0,46,2
22144,New construction,228000.0,1840.0,124.0,exist,exist,3.0,3.0,17.0,52,1
22145,Old building,123000.0,1540.0,80.0,exist,exist,3.0,7.0,9.0,53,3
22146,New construction,385000.0,2260.0,170.0,exist,exist,4.0,10.0,17.0,46,2
22147,Old building,92000.0,1840.0,50.0,exist,exist,2.0,5.0,5.0,47,3
22148,New construction,315000.0,2250.0,140.0,exist,exist,4.0,3.0,14.0,47,1
22149,New construction,121000.0,864.0,140.0,don't exist,don't exist,3.0,13.0,24.0,51,2
22150,New construction,200000.0,2110.0,95.0,exist,exist,2.0,10.0,16.0,50,2
22151,Old building,106000.0,2120.0,50.0,exist,exist,2.0,8.0,9.0,45,3
